east_velocity,north_velocity,up_velocity,longitude,latitude
-1.3836601923543501,-0.46050512864735893,0.08505108557422414,-117.09319580889999,34.1164090607
-1.3836600561784067,-0.4605052294771994,0.08505136640833655,-117.09319579279997,34.116409030599996
-1.3836785921181978,-0.46049619448078616,0.08505434862409222,-117.0931953843,34.1164094508
-1.3836795610387185,-0.4604957475335709,0.08505472714562856,-117.0931953489,34.1164094529
-1.3836802175143816,-0.4604954499705336,0.08505502981225943,-117.09319532200001,34.1164094502
-1.383681801667807,-0.46049466876050715,0.08505520525645904,-117.09319529209998,34.1164094932
0.0048131405976121755,-0.20316624810619288,-0.02027147139689789,-117.44489146450002,33.2742666992
0.03481313957536969,-0.2731662292200667,0.10972852476970263,-117.44489146490002,33.2742667008
0.024508863018093408,0.05566514573515047,-0.007740086165607896,-116.4293795545,34.5942827386
0.024508885302896743,0.05566435186949281,-0.007740601001424707,-116.42937953200001,34.5942826563
0.13803881098296067,-0.04581639002419635,0.04206624004176218,-118.694801385,34.8244925658
0.13803899912205964,-0.045816249374837525,0.042066126464730846,-118.6948014045,34.8244925745
0.13803880276509517,-0.04581610462236796,0.04206611769961954,-118.69480140259998,34.824492581
0.1380384984799523,-0.04581606130995297,0.042066183151942216,-118.6948013882,34.8244925814
0.8053088411005973,-0.8857562717149108,1.850418963240468,-119.36347248189998,34.015008459899995
0.8053092625864764,-0.8857564976590311,1.850419297163615,-119.3634724906,34.0150084307
0.8053092749037774,-0.8857564969821254,1.8504192792566585,-119.3634724945,34.015008432100004
-0.05811051180000959,-0.17464268672996042,0.1982133876368492,-117.3249310921,33.3418503589
0.532440610119437,-0.3161896562200539,-0.0046843914402920905,-117.47650561919997,33.381137109
-1.232689280625845,-2.345626280988224,-14.548865171715626,-118.91042493040001,35.2012529468
-1.2326914286439727,-2.345623942960687,-14.54886349783272,-118.9104250311,35.2012530579
-1.2326853136146205,-2.3456236168616105,-14.548869280491372,-118.91042474900001,35.2012529792
-0.08562099188289629,-2.246665432804299,-17.165968460812014,-118.9105595558,35.2012606423
-0.08561982644312316,-2.246664415550109,-17.165969698502785,-118.91055950270001,35.2012606598
-0.08562001336457215,-2.246663397272071,-17.165969671818555,-118.91055951200002,35.2012606972
-0.08562056597289036,-2.2466644497274384,-17.165969002035247,-118.91055953680001,35.201260669499995
0.012537584956093806,0.482806812930169,-1.252094734989521,-117.3083686171,39.3902615473
0.012537563243892436,0.48280683294914806,-1.2520947883169833,-117.30836862610002,39.3902615525
0.09199238371676755,0.4235145708125059,-1.80376640642769,-117.3085976223,39.3904330943
0.09199234085404173,0.42351459088300225,-1.8037664805209448,-117.30859763979998,39.3904331007
-1.5679386033873701,0.11910685345709737,-0.02689986056679816,-117.15397328360001,34.4683025247
-1.567938673699901,0.11910692382256549,-0.026899875094573367,-117.1539732812,34.4683025311
-1.567938297662531,0.119105335956327,-0.02690018413225237,-117.15397360669999,34.4683026151
-1.5679398015657373,0.11910719851680796,-0.026900380741700425,-117.15397346310002,34.4683027171
-1.5679402359013874,0.11910821354230094,-0.026900285227753118,-117.15397329849998,34.4683027
-0.246194663448712,0.08510853074186286,0.004226049535505316,-116.62969944080001,33.5400744252
